EIN,Name in IRS Master File,NTEE Code,NTEE Type (26),NTEE Classification,Affiliation,Founded,Overall,Financial Socre,Transparency Score,Tel,Website,Street,City,State,Zip
43-1759425,Agriculture Future Of America Inc,O52,Youth Development,Youth Development - Agricultural,Independent ,"August, 1997",83.46,95.77,77,tel: (888) 472-4232,http://www.agfuture.org/s/1342/start.aspx,P.O. Box 414838,Kansas City,MO,64141
91-1276578,Agros International,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"April, 1985",74.35,63.95,96,tel: (206) 528-1066,http://www.agros.org/,2225 Fourth Avenue,Seattle,WA,98121
13-5604164,Agudath Israel Of America Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 1947",83.24,91.19,78,tel: (212) 797-9000,NaN,42 Broadway,New York,NY,10004
13-3779611,Ahrc New York City Foundation Inc,T99,"Philanthropy, Voluntarism and Grantmaking Foundations","Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.",Independent ,"December, 1994",82.7,75.72,97,tel: (212) 780-2690,http://www.ahrcnycfoundation.org/,83 Maiden Lane,New York,NY,10038
13-3954568,Aid For Aids International Inc,R30,"Civil Rights, Social Action, Advocacy","Intergroup, Race Relations",Independent ,"December, 1999",85.74,83.8,88,tel: (212) 337-8043,http://www.aidforaids.org,515 Greenwich Street,New York,NY,10013
23-2072722,Aid For Friends,K36,"Food, Agriculture and Nutrition",Meals on Wheels,Independent ,"December, 1978",79.2,76.75,82,tel: (215) 464-2224,http://www.aidforfriends.org/,12271 Townsend Road,Philadelphia,PA,19154
52-1224507,Aid For Starving Children,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"March, 1982",75.97,91.91,67,tel: (707) 528-3499,http://aidforstarvingchildren.org/,2360 Professional Drive,Santa Rosa,CA,95403
22-2707246,Aids Action Committee Of Massachusetts Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1986",80.06,73.64,90,tel: (617) 437-6200,http://www.aac.org,75 Amory Street,Boston,MA,2119
13-3632234,Community Research Initiative On Aids,G81,"Diseases, Disorders, Medical Disciplines",AIDS,Independent ,"February, 1992",78.41,71.52,89,tel: (212) 924-3934,http://acria.org,575 8th Avenue,New York,NY,10018
94-2922039,San Francisco A I D S Fund,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"December, 1983",85.6,81.28,92,tel: (415) 558-6999,http://www.aef-sf.org/,12 Grace Street,San Francisco,CA,94103
76-0073661,Aids Foundation Houston Inc,G81,"Diseases, Disorders, Medical Disciplines",AIDS,Independent ,"November, 1983",76.42,66.9,96,tel: (713) 623-6796,http://www.aidshelp.org,6260 Westpark Drive,Houston,TX,77057
95-3842506,Aids Project Los Angeles Inc,G81,"Diseases, Disorders, Medical Disciplines",AIDS,Independent ,"August, 1983",81.82,74.47,97,tel: (213) 201-1600,http://www.apla.org,611 South Kingsley Drive,Los Angeles,CA,90005
95-4264845,Aids Research Alliance Of America,H81,Medical Research,AIDS Research,Independent ,"May, 1995",67.97,56.06,89,tel: (310) 358-2423,http://www.aidsresearch.org/,1400 S. Grand Ave,Los Angeles,CA,90015
52-1706646,Aids United,B99,Educational Institutions and Related Activities,Education N.E.C.,Independent ,"November, 1990",86.16,80.85,96,tel: (204) 408-4848,http://www.aidsunited.org,1424 K Street NW,Washington,DC,20005
11-3573392,All India Movement Aim For Seva Inc,P20,Human Services - Multipurpose and Other,Human Service Organizations - Multipurpose,Independent ,"February, 2001",83.75,93.4,78,tel: (570) 402-1244,http://www.aimforsevabayarea.org/,P.O. Box 639,Saylorsburg,PA,18353
94-3231546,Healthcare Charities Inc,Q30,"International, Foreign Affairs and National Security","International Development, Relief Services",Independent ,"February, 1996",85.41,89.93,82,tel: (510) 583-9795,http://www.aimshospital.org/how-to-help/donation-in-usa/,P.O. Box 2640,San Ramon,CA,94583
54-1797281,Air Force Aid Society Inc,W30,"Public, Society Benefit - Multipurpose and Other","Military, Veterans' Organizations",Independent ,"August, 1996",89.9,85.72,100,tel: (703) 972-2650,http://www.afas.org/,"241 Eighteenth Street, S.",Arlington,VA,22202
23-7078212,Air Force Enlisted Village Inc,L50,"Housing, Shelter","Housing Owners, Renters Organizations",Independent ,"April, 1999",91.92,89.3,96,tel: (800) 258-1413,http://afev.us/,92 Sunset Lane,Shalimar,FL,32579
31-0668800,Air Force Museum Foundation Inc,A11,"Arts, Culture and Humanities",Single Organization Support,Independent ,"January, 1966",84.02,77.41,100,tel: (937) 258-1225,http://www.airforcemuseum.com,P.O. Box 1903,Wright Patterson Air Force Base,OH,45433
77-0490412,Air Warrior Courage Foundation,T30,"Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,Independent ,"April, 1999",96.2,94.64,100,tel: (877) 921-2923,http://www.airwarriorcourage.org/,P.O. Box 877,Silver Spring,MD,20918
13-3548993,Aish Hatorah New York Inc,X30,"Religion-Related, Spiritual Development",Jewish,Independent ,"November, 1992",62.86,67.19,59,tel: (212) 921-9090,https://www.aishny.com/,313 West 83rd Street,New York,NY,10024
34-0813426,Akron Art Museum,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"August, 1943",73.43,67.59,81,tel: (330) 376-9185,http://www.akronartmuseum.org,One South High Street,Akron,OH,44308
34-1087615,Akron Community Foundation,T31,"Philanthropy, Voluntarism and Grantmaking Foundations",Community Foundations,Independent ,"April, 1960",94.39,93.16,96,tel: (330) 376-8522,http://www.akroncf.org/Home.aspx,345 West Cedar Street,Akron,OH,44307
34-1369388,Akron-Canton Regional Foodbank,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"August, 1982",96.41,96.89,96,tel: (330) 535-6900,http://www.akroncantonfoodbank.org,350 Opportunity Parkway,Akron,OH,44307
63-0813626,State Of Alabama Ballet Inc,A63,"Arts, Culture and Humanities",Ballet,Independent ,"September, 1982",81.22,86.73,77,tel: (205) 322-4300,http://www.alabamaballet.org,2726 1st Avenue South,Birmingham,AL,35233
63-1236563,Centre For The Living Arts,A60,"Arts, Culture and Humanities",Performing Arts Organizations,Independent ,"April, 2000",61.93,54.65,71,tel: (251) 208-5682,http://www.alabamacontemporary.com,301 Conti Street,Mobile,AL,36602
63-0951482,Alabama Law Foundation Inc,I80,"Crime, Legal-Related",Legal Services,Independent ,"June, 1987",73.12,63.93,88,tel: (334) 387-1600,http://www.alabamalawfoundation.org/,P.O. BOX 4129,Montgomery,AL,36103
63-0809568,Alabama Policy Institute Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1981",68.33,70.86,66,tel: (205) 870-9900,http://www.alabamapolicy.org/,"402 Office Park Drive, Suite 300",Birmingham,AL,35223
63-0652734,Alabama Shakespeare Festival Inc,A65,"Arts, Culture and Humanities",Theater,Independent ,"January, 1976",70.19,71.45,69,tel: (334) 271-5337,http://www.asf.net/,One Festival Drive,Montgomery,AL,36117
63-1103036,Alabama Symphonic Association Inc,A69,"Arts, Culture and Humanities",Symphony Orchestras,Independent ,"December, 1993",75.97,67.85,89,tel: (205) 251-6929,http://www.alabamasymphony.org/,3621 Sixth Avenue South,Birmingham,AL,35222
94-2960297,The Alameda County Community Food Bank Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"August, 1985",97.15,99.57,96,tel: (510) 635-3663,http://www.accfb.org/,7900 Edgewater Drive,Oakland,CA,94621
92-0061466,Alaska Conservation Foundation,C30,"Environmental Quality, Protection and Beautification",Natural Resources Conservation and Protection,Independent ,"June, 1977",80.37,72.53,96,tel: (907) 276-1917,http://alaskaconservation.org/,911 W 8th Avenue,Anchorage,AK,99501
52-1814742,Alaska Wilderness League,C01,"Environmental Quality, Protection and Beautification",Alliance/Advocacy Organizations,Independent ,"March, 1993",76.74,67.36,96,tel: (202) 544-5205,http://www.alaskawild.org/,"122 C Street, NW",Washington,DC,20001
14-1343061,Albany Institute Of History And Art,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"January, 1942",79.05,72.5,89,tel: (518) 463-4478,http://www.albanyinstitute.org/,125 Washington Avenue,Albany,NY,12210
94-1613751,The Albert Baker Fund,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"June, 1966",81.86,75.32,93,tel: (800) 269-0388,http://www.albertbakerfund.org,1510 J Street,Sacramento,CA,95814
13-1982786,Albert Schweitzer Fellowship Inc,Q11,"International, Foreign Affairs and National Security",Single Organization Support,Independent ,"April, 1948",81.25,75.88,89,tel: (617) 667-5111,http://www.schweitzerfellowship.org/,109 Brookline Avenue,Boston,MA,2215
16-6001555,Buffalo Fine Arts Academy,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"December, 1940",85.1,85.22,85,tel: (716) 270-8329,http://www.albrightknox.org,1285 Elmwood Avenue,Buffalo,NY,14222
85-0129165,Albuquerque Academy,B25,Educational Institutions and Related Activities,"Secondary, High School",Independent ,"November, 1972",76.42,72.61,81,tel: (800) 711-5144,http://aa.edu,"6400 Wyoming Boulevard, NE",Albuquerque,NM,87109
85-0201054,Albuquerque Museum Foundation Inc,A50,"Arts, Culture and Humanities","Museum, Museum Activities",Independent ,"May, 1968",86.14,82.11,92,tel: (505) 842-0111,http://albuquerquemuseum.org/,P.O. Box 7006,Albuquerque,NM,87194
58-1322015,The United Methodist Renewal Services Fellowship,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"October, 1978",68.84,73.24,65,tel: (877) 857-9372,http://www.aldersgaterenewal.org,121 East Avenue,Goodlettsville,TN,37072
59-2291627,Aleph Institute,I40,"Crime, Legal-Related",Rehabilitation Services for Offenders,Independent ,"July, 1986",74.81,82.47,69,tel: (305) 864-5553,http://www.alephinstitute.org,9540 Collins Avenue,Surfside,FL,33154
56-2496146,Alexs Lemonade Stand Foundation,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"March, 2005",96.14,96.3,96,tel: (866) 333-1213,http://www.alexslemonade.org,333 East Lancaster Avenue,Wynnewood,PA,19096
53-0196644,Alexander Graham Bell Association For The Deaf And Hard Of Hearing,P03,Human Services - Multipurpose and Other,"Professional Societies, Associations",Central ,"October, 1951",84.68,81.35,89,tel: (202) 337-5220,http://www.agbell.org,"3417 Volta Place, NW",Washington,DC,20007
59-0173782,Alexander Muss Institute For Israel Education Inc,Q22,"International, Foreign Affairs and National Security",International Student Exchange and Aid,Independent ,"April, 2011",94.17,92.8,96,tel: (800) 327-5980,http://www.amiie.org/,78 Randall Avenue,Rockville Centre,NY,11570
54-0914017,Alive Inc,P60,Human Services - Multipurpose and Other,"Emergency Assistance (Food, Clothing, Cash)",Independent ,"October, 1972",88.08,88.17,88,tel: (703) 837-9300,http://ALIVE-inc.org,2723 King Street,Alexandria,VA,22302
58-0641496,Aadd Inc,P82,Human Services - Multipurpose and Other,"Developmentally Disabled Centers, Services",Independent ,"September, 1956",91.64,95.7,89,tel: (404) 881-9777,http://www.aadd.org,125 Clairemont Avenue,Decatur,GA,30030
59-2481738,All Childrens Hospital Foundation Inc,E11,Health - General and Rehabilitative,Single Organization Support,Independent ,"June, 1985",80.1,74.1,89,tel: (727) 767-4199,https://www.allkids.org/Home,"500 Seventh Avenue, S",St. Petersburg,FL,33701
93-1042868,All Classical Public Media Inc,A11,"Arts, Culture and Humanities",Single Organization Support,Independent ,"April, 1991",91.45,90.95,92,tel: (888) 306-5277,http://www.allclassical.org,211 Southeast Caruthers Street,Portland,OR,97214
65-0115814,All Faiths Food Bank Inc,K31,"Food, Agriculture and Nutrition","Food Banks, Food Pantries",Independent ,"September, 1989",92.29,91.65,93,tel: (941) 379-6333,http://allfaithsfoodbank.org,8171 Blaikie Ct.,Sarasota,FL,34240
38-2992649,All Gods Children Ltd,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"September, 1992",83.34,76.45,100,tel: (630) 862-1728,http://www.agcltd.org,P.O. Box 5909,Villa Park,IL,60181
93-1052909,All Gods Children International,Q33,"International, Foreign Affairs and National Security",International Relief,Independent ,"August, 1992",77.89,68.99,96,tel: (800) 214-6719,http://allgodschildren.org,3308 Northeast Peerless Place,Portland,OR,97232
93-1149789,All Hands Raised,B12,Educational Institutions and Related Activities,Fund Raising and/or Fund Distribution,Independent ,"September, 1994",80.96,80.93,81,tel: (503) 234-5404,http://allhandsraised.org/,2069 NE Hoyt Street,Portland,OR,97232
20-3414952,All Hands Volunteers Inc,M20,"Public Safety, Disaster Preparedness and Relief",Disaster Preparedness and Relief Services,Independent ,"October, 2005",94.57,93.46,96,tel: (508) 758-8211,http://hands.org/,6 County Road,Mattapoisett,MA,2739
33-0421940,All India Mission,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"July, 1991",73.8,98.25,63,tel: (913) 829-6555,http://www.allindiamission.com,11252 Strang Line,Lenexa,KS,66215
06-1539280,All Our Kin Inc,B30,Educational Institutions and Related Activities,"Vocational, Technical Schools",Independent ,"July, 1999",94.4,93.17,96,tel: (203) 772-2294,http://allourkin.org/,414A Chapel Street,New Haven,CT,6511
59-3246571,All Saints Academy Inc,B24,Educational Institutions and Related Activities,"Primary, Elementary Schools",Independent ,"December, 1994",76.97,72.86,82,tel: (863) 595-1159,http://www.allsaintsacademy.com/,"5001 State Road 540, W",Winter Haven,FL,33880
77-0325111,All Stars Helping Kids Inc,N60,"Recreation, Sports, Leisure, Athletics","Amateur Sports Clubs, Leagues, N.E.C.",Independent ,"May, 1993",77.93,72.12,86,tel: (408) 934-6980,http://www.allstarshelpingkids.org/,2901 Tasman Drive,Santa Clara,CA,95054
13-3148295,All Stars Project Inc,A99,"Arts, Culture and Humanities","Arts, Culture, and Humanities N.E.C.",Independent ,"June, 1983",89.75,87.32,93,tel: (212) 941-9400,http://www.allstars.org/,543 West 42nd Street,New York,NY,10036
75-1986190,Allen Community Outreach,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"February, 1985",97.09,95.89,100,tel: (972) 727-9131,http://www.acocares.org,801 East Main Street,Allen,TX,75002
13-1623878,Allen-Stevenson School,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"May, 1948",83.95,80.16,89,tel: (212) 933-5238,http://www.allen-stevenson.org,132 East 78th Street,New York,NY,10075
23-1548101,Allentown Art Museum,A51,"Arts, Culture and Humanities",Art Museums,Independent ,"July, 1946",82.53,80.38,85,tel: (610) 432-4333,http://www.allentownartmuseum.org,31 North Fifth Street,Allentown,PA,18101
23-6005983,Allentown Rescue Mission Inc,L41,"Housing, Shelter","Homeless, Temporary Shelter For",Independent ,"October, 1959",74.09,64.25,92,tel: (610) 740-5500,http://www.allentownrescuemission.org,355 Hamilton Street,Allentown,PA,18105
54-1357586,Allergy And Asthma Network-Mothers Of Asthmatics Inc,[Not Provided by IRS],[Not Provided by IRS],[Not Provided by IRS],Independent ,"November, 1986",74.07,70.67,78,tel: (800) 878-4403,http://www.allergyasthmanetwork.org,8229 Boone Boulevard,Vienna,VA,22182
52-1742079,Alley Cat Allies Incorporated,D20,Animal-Related,Animal Protection and Welfare,Independent ,"February, 1992",96.57,96.19,97,tel: (866) 271-5534,http://www.alleycat.org,7920 Norfolk Avenue,Bethesda,MD,20814
52-2279100,Alley Cat Rescue Inc,D20,Animal-Related,Animal Protection and Welfare,Independent ,"January, 2001",76.26,75.55,77,tel: (301) 277-5595,http://www.saveacat.org,P.O. Box 585,Mt. Rainier,MD,20712
74-1143076,Alley Theatre,A65,"Arts, Culture and Humanities",Theater,Independent ,"August, 1950",92.75,90.56,96,tel: (713) 228-9341,http://www.alleytheatre.org/,615 Texas Avenue,Houston,TX,77002
54-1660459,Alliance Defending Freedom,R60,"Civil Rights, Social Action, Advocacy",Civil Liberties Advocacy,Independent ,"July, 1993",84.41,79.1,93,tel: (800) 835-5233,http://www.adflegal.org/,15100 North 90th Street,Scottsdale,AZ,85260
91-1635554,Alliance For A Just Society,S21,"Community Improvement, Capacity Building",Community Coalitions,Independent ,"September, 1994",86.44,88.07,85,tel: (206) 568-5400,http://allianceforajustsociety.org/,3518 South Edmunds Street,Seattle,WA,98118
